"","UF","Capital","area","tipoArea","peso","idad","sexo","raca","nvlMaisElevado","anosEst","posTrab","posOcup","rendOcup","grupPosOcup","ocup","classeOcup1","classeOcup2","ln_rendOcup"
"430",11,11,1,1,127.77881582,49,"F","Parda ",7,16,1,1,4000,1,2341,9,2,8.29404964010203
"436",11,11,1,1,144.90941093,52,"M","Parda ",5,12,1,1,1200,9,8332,5,8,7.09007683577609
"440",11,11,1,1,98.93948786,70,"F","Parda ",5,12,1,1,6500,7,5414,8,5,8.77955745588373
"441",11,11,1,1,149.28035855,40,"M","Branca",7,16,1,1,2000,9,8321,5,8,7.60090245954208
"442",11,11,1,1,149.28035855,40,"F","Branca",7,16,1,1,5000,9,8332,5,8,8.51719319141624
"444",11,11,1,1,153.04395865,34,"M","Preta",5,12,1,1,1212,9,7111,3,7,7.10002716662926
"445",11,11,1,1,153.04395865,40,"F","Preta",7,16,1,1,2500,7,4110,9,4,7.82404601085629
"449",11,11,1,1,240.08961822,23,"M","Branca",5,12,1,1,2000,9,7132,4,7,7.60090245954208
"452",11,11,1,1,240.08961822,23,"M","Parda ",5,12,1,1,1200,9,7132,4,7,7.09007683577609
"453",11,11,1,1,240.08961822,17,"M","Branca",5,12,1,1,1400,1,9329,2,9,7.24422751560335
"454",11,11,1,1,231.68225301,31,"F","Parda ",3,9,1,1,1300,1,5120,6,5,7.17011954344963
"455",11,11,1,1,231.68225301,37,"M","Parda ",2,7,1,1,1400,9,7112,3,7,7.24422751560335
"460",11,11,1,1,347.13884634,31,"M","Preta",5,12,1,1,1400,1,5223,4,5,7.24422751560335
"461",11,11,1,1,204.51857248,56,"F","Parda ",5,12,1,1,2000,7,4110,9,4,7.60090245954208
"462",11,11,1,1,204.51857248,36,"F","Parda ",7,16,1,1,2000,1,2264,9,2,7.60090245954208
"465",11,11,1,1,175.73399854,52,"F","Branca",7,16,1,1,12000,6,2421,8,2,9.39266192877014
"466",11,11,1,1,175.73399854,25,"F","Branca",7,16,1,1,4000,6,2619,8,2,8.29404964010203
"467",11,11,1,1,347.13884634,33,"M","Preta",5,12,1,1,2800,1,5222,4,5,7.9373746961633
"469",11,11,1,1,180.17749601,40,"F","Parda ",5,12,1,1,3000,1,3221,9,3,8.00636756765025
"474",11,11,1,1,298.02829605,28,"F","Parda ",7,16,1,1,1200,9,5132,6,5,7.09007683577609
"475",11,11,1,1,298.02829605,34,"M","Parda ",4,11,1,1,2000,9,8322,5,8,7.60090245954208
"477",11,11,1,1,307.06629384,22,"M","Parda ",6,14,1,1,3000,7,3513,2,3,8.00636756765025
"479",11,11,1,1,137.82721743,63,"M","Branca",3,9,1,1,3000,9,7112,3,7,8.00636756765025
"480",11,11,1,1,193.50175732,52,"M","Parda ",5,12,1,1,1212,1,7422,7,7,7.10002716662926
"481",11,11,1,1,193.50175732,47,"F","Parda ",5,12,1,1,1212,9,3221,9,3,7.10002716662926
"482",11,11,1,1,193.50175732,28,"M","Parda ",5,12,1,1,1212,1,4110,9,4,7.10002716662926
"483",11,11,1,1,144.48557588,55,"M","Branca",7,16,1,1,10000,7,2411,9,2,9.21034037197618
"484",11,11,1,1,144.48557588,43,"F","Branca",7,16,1,1,7000,7,1346,7,1,8.85366542803745
"486",11,11,1,1,208.37697562,47,"M","Parda ",2,6,1,1,1212,9,7112,3,7,7.10002716662926
"487",11,11,1,1,186.30488976,72,"M","Parda ",3,9,1,1,5400,7,8322,8,8,8.59415423255237
"489",11,11,1,1,186.30488976,26,"F","Parda ",6,13,1,1,1200,6,4110,2,4,7.09007683577609
"493",11,11,1,1,233.12557361,49,"M","Branca",3,9,1,1,1500,9,2642,4,2,7.3132203870903
"495",11,11,1,1,189.45551737,45,"F","Parda ",2,6,1,1,1200,9,7112,6,7,7.09007683577609
"496",11,11,1,1,189.45551737,20,"M","Parda ",5,12,1,1,1200,1,8219,4,8,7.09007683577609
"501",11,11,1,1,172.41973327,39,"M","Parda ",7,16,1,1,5000,1,2211,9,2,8.51719319141624
"502",11,11,1,1,172.41973327,42,"F","Parda ",7,16,1,1,2100,1,2421,10,2,7.64969262371151
"507",11,11,1,1,122.1658662,41,"M","Parda ",3,9,1,1,1700,1,5414,7,5,7.43838353004431
"509",11,11,1,1,144.88414978,32,"F","Parda ",5,12,1,1,700,9,5120,6,5,6.5510803350434
"510",11,11,1,1,144.88414978,40,"M","Parda ",2,5,1,1,1200,9,7112,7,7,7.09007683577609
"513",11,11,1,1,147.01360213,45,"M","Branca",3,9,1,1,1212,1,8332,5,8,7.10002716662926
"515",11,11,1,1,153.44754424,41,"M","Parda ",5,12,1,1,1212,1,7523,2,7,7.10002716662926
"518",11,11,1,1,153.44754424,20,"F","Branca",4,11,1,1,1212,2,5230,4,5,7.10002716662926
"525",11,11,1,1,125.44123807,35,"F","Parda ",5,12,1,1,1212,1,5246,6,5,7.10002716662926
"526",11,11,1,1,125.44123807,38,"F","Parda ",5,12,1,1,1522,1,3221,9,3,7.32778053842163
"531",11,11,1,1,138.2266228,34,"M","Parda ",5,12,1,1,1000,9,9313,3,9,6.90775527898214
"532",11,11,1,1,101.08476246,68,"F","Parda ",7,16,1,1,2000,7,2341,9,2,7.60090245954208
"534",11,11,1,1,101.08476246,18,"M","Parda ",5,12,1,1,1212,7,210,8,10,7.10002716662926
"541",11,11,1,1,114.52707375,37,"M","Branca",7,16,1,1,7000,7,2632,8,2,8.85366542803745
"543",11,11,1,1,68.83780315,69,"F","Parda ",5,12,1,1,3800,7,3411,8,3,8.24275634571448
"548",11,11,1,1,77.34587728,22,"M","Branca",6,13,1,1,1212,7,4110,8,4,7.10002716662926
"555",11,11,1,1,71.20031644,44,"M","Parda ",2,1,1,1,1500,9,7112,4,7,7.3132203870903
"556",11,11,1,1,63.19352533,65,"F","Branca",5,12,1,1,1800,7,3221,8,3,7.49554194388426
"560",11,11,1,1,80.02753778,45,"M","Parda ",5,12,1,1,1200,1,7112,3,7,7.09007683577609
"561",11,11,1,1,80.02753778,14,"M","Parda ",2,8,1,1,200,2,4110,7,4,5.29831736654804
