"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"188","REINALDO RIBEIRO DA SILVA DOUTOR",35003463,3550308,"estadual",111,0.92,"finais (6-9)",6.4,294.64,291.15,NA,NA,5.91,0.27,0.33,10.42,-23.5119437,-46.7210441
"189","JOSE CANDIDO DE SOUZA",35003475,3550308,"estadual",107,0.83,"finais (6-9)",6,283.04,282.85,NA,NA,5.74,0.16,0.47,9.66,-23.5370266,-46.6840727
"190","ALARICO SILVEIRA DOUTOR",35003530,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.29,NA,NA,NA,-23.5281402,-46.6558936
"191","JOSE MONTEIRO BOANOVA PROFESSOR",35003542,3550308,"estadual",80,0.92,"finais (6-9)",4.7,259.74,254.09,NA,NA,6.04,0.06,0.3,10,-23.5259,-46.7225
"192","MAURO DE OLIVEIRA PROFESSOR",35003554,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.89,NA,NA,NA,-23.5421743,-46.6943926
"193","MISS BROWNE",35003566,3550308,"estadual",24,0.92,"finais (6-9)",5.8,287.72,269.68,NA,NA,5.67,0.04,0.29,13,-23.5059333,-46.58639
"194","EMILIANO AUGUSTO CAVALCANTI DE ALBUQUERQUE E MELO",35003657,3550308,"estadual",33,0.83,"finais (6-9)",6,288.77,282.21,NA,NA,5.93,0.03,0.42,9.71,-23.5428102,-46.7171559
"195","FIDELINO DE FIGUEIREDO PROFESSOR",35003670,3550308,"estadual",175,0.75,"finais (6-9)",5.4,266.8,269.64,NA,NA,5.43,0.07,0.34,8.7,-23.5389663,-46.653018
"196","FERNAO DIAS PAES",35003682,3550308,"estadual",82,0.75,"finais (6-9)",5.4,263.78,261.94,NA,NA,5.89,0.07,0.32,11.08,-23.5655802,-46.6895396
"197","MARINA CINTRA PROFESSORA",35003712,3550308,"estadual",183,0.75,"finais (6-9)",5.4,271.69,266.11,NA,NA,4.98,0.11,0.31,9.49,-23.549989,-46.6532975
